Sample_ID,Material,Cross_Section_Type,Beam_Length_m,Thickness_m,Factor_of_Safety,Moment_of_Inertia_m4,Cross_Sec_Area_m2,y_max_m,Young_Modulus_GPa,Yield_Strength_MPa,Sigma_Allow_MPa,P_Bending_kN,P_Shear_kN,P_Deflection_kN,Max_Load_kN,Governing_Criterion,Slenderness_Ratio,Max_Deflection_mm,Bending_Stress_MPa,Stress_Utilization_pct
327,Concrete,I-Beam,17.722,0.455,2,1.00E-10,0.10987563,0.455316,30,25,12.5,0,183.126,0,0.5,Bending,38.92,23.9498,12.5,50
328,Concrete,I-Beam,10.385,0.426,1.5,1.00E-10,0.09627222,0.426199,30,25,16.667,0,213.938,0,0.5,Bending,24.37,11.7143,16.667,66.67
329,Concrete,I-Beam,4.368,0.372,2,1.00E-10,0.07339133,0.372121,30,25,12.5,0,122.319,0,0.5,Bending,11.74,1.7805,12.5,50
330,Concrete,I-Beam,10.861,0.161,3,1.00E-10,0.01378151,0.161254,30,25,8.333,0,15.313,0,0.5,Bending,67.35,16.9335,8.333,33.33
331,Concrete,I-Beam,9.29,0.317,1.5,1.00E-10,0.05319645,0.316813,30,25,16.667,0,118.214,0,0.5,Bending,29.32,12.6127,16.667,66.67
332,Concrete,I-Beam,13.738,0.19,3,1.00E-10,0.01922709,0.190467,30,25,8.333,0,21.363,0,0.5,Bending,72.13,22.9381,8.333,33.33
333,Concrete,I-Beam,6.646,0.346,1.5,1.00E-10,0.06327777,0.345531,30,25,16.667,0,140.617,0,0.5,Bending,19.24,5.9188,16.667,66.67
334,Concrete,I-Beam,19.457,0.254,2.5,1.00E-10,0.03424878,0.254205,30,25,10,0,45.665,0,0.5,Bending,76.54,41.3671,10,40
335,Concrete,I-Beam,17.907,0.249,2,1.00E-10,0.03283704,0.248911,30,25,12.5,0,54.728,0,0.5,Bending,71.94,44.7299,12.5,50
336,Concrete,I-Beam,4.624,0.252,2.5,1.00E-10,0.03372266,0.252245,30,25,10,0,44.964,0,0.5,Bending,18.33,2.3542,10,40
337,Concrete,I-Beam,19.075,0.164,3,1.00E-10,0.01419193,0.163638,30,25,8.333,0,15.769,0,0.5,Bending,116.57,51.4683,8.333,33.33
338,Concrete,I-Beam,8.421,0.29,1.5,1.00E-10,0.04459771,0.29008,30,25,16.667,0,99.106,0,0.5,Bending,29.03,11.3181,16.667,66.67
339,Concrete,I-Beam,17.195,0.413,3,1.00E-10,0.09020536,0.412552,30,25,8.333,0,100.228,0,0.5,Bending,41.68,16.59,8.333,33.33
340,Concrete,I-Beam,11.718,0.065,2,1.00E-10,0.00226582,0.065384,30,25,12.5,0,3.776,0,0.5,Deflection,179.22,39.061,6.696,26.78
341,Concrete,I-Beam,4.213,0.154,2,1.00E-10,0.01257093,0.154009,30,25,12.5,0,20.952,0,0.5,Bending,27.36,4.0026,12.5,50
342,Concrete,I-Beam,7.691,0.278,3,1.00E-10,0.04103589,0.278256,30,25,8.333,0,45.595,0,0.5,Bending,27.64,4.9206,8.333,33.33
343,Concrete,I-Beam,4.67,0.494,2.5,1.00E-10,0.12933047,0.493984,30,25,10,0,172.441,0,0.5,Bending,9.45,1.2265,10,40
344,Concrete,I-Beam,10.185,0.282,2,1.00E-10,0.04215316,0.282018,30,25,12.5,0,70.255,0,0.5,Bending,36.12,12.7726,12.5,50
345,Concrete,I-Beam,8.168,0.29,3.5,1.00E-10,0.04442258,0.28951,30,25,7.143,0,42.307,0,0.5,Bending,28.21,4.5721,7.143,28.57
346,Concrete,I-Beam,5.39,0.379,3.5,1.00E-10,0.07607882,0.378873,30,25,7.143,0,72.456,0,0.5,Bending,14.23,1.5216,7.143,28.57
347,Concrete,I-Beam,9.988,0.441,2,1.00E-10,0.10291793,0.440664,30,25,12.5,0,171.53,0,0.5,Bending,22.66,7.8598,12.5,50
348,Concrete,I-Beam,6.395,0.424,1.5,1.00E-10,0.09523398,0.423895,30,25,16.667,0,211.631,0,0.5,Bending,15.09,4.466,16.667,66.67
349,Concrete,I-Beam,2.547,0.469,3,1.00E-10,0.116543,0.468927,30,25,8.333,0,129.492,0,0.5,Bending,5.43,0.3202,8.333,33.33
350,Concrete,I-Beam,13.86,0.227,3.5,1.00E-10,0.0273679,0.227239,30,25,7.143,0,26.065,0,0.5,Bending,60.99,16.7729,7.143,28.57
351,Concrete,I-Beam,12.389,0.207,2,1.00E-10,0.02267886,0.206858,30,25,12.5,0,37.798,0,0.5,Bending,59.89,25.765,12.5,50
352,Concrete,I-Beam,17.674,0.402,3.5,1.00E-10,0.08568143,0.402073,30,25,7.143,0,81.601,0,0.5,Bending,43.96,15.4139,7.143,28.57
353,Concrete,I-Beam,7.196,0.099,2,1.00E-10,0.00520496,0.099099,30,25,12.5,0,8.675,0,0.5,Bending,72.62,18.1451,12.5,50
354,Concrete,I-Beam,14.017,0.414,2,1.00E-10,0.09063404,0.413531,30,25,12.5,0,151.057,0,0.5,Bending,33.9,16.4964,12.5,50
355,Concrete,I-Beam,17.802,0.193,3.5,1.00E-10,0.01968842,0.192738,30,25,7.143,0,18.751,0,0.5,Bending,92.36,32.6243,7.143,28.57
356,Concrete,I-Beam,11.801,0.053,1.5,1.00E-10,0.0014659,0.052591,30,25,16.667,0,3.258,0,0.5,Deflection,224.39,39.336,5.348,21.39
357,Concrete,I-Beam,8.596,0.228,3.5,1.00E-10,0.02761868,0.228278,30,25,7.143,0,26.304,0,0.5,Bending,37.66,6.4229,7.143,28.57
358,Concrete,I-Beam,12.737,0.296,2.5,1.00E-10,0.04629825,0.295559,30,25,10,0,61.731,0,0.5,Bending,43.09,15.2465,10,40
359,Concrete,I-Beam,6.091,0.083,2.5,1.00E-10,0.00364573,0.082938,30,25,10,0,4.861,0,0.5,Bending,73.44,12.4251,10,40
360,Concrete,I-Beam,15.668,0.275,3.5,1.00E-10,0.04013968,0.2752,30,25,7.143,0,38.228,0,0.5,Bending,56.93,17.6994,7.143,28.57
361,Concrete,T-Beam,17.54,0.284,3,0.000954367,0.05026342,0.366961,30,25,8.333,4.942,55.848,14.89,4.736,Bending,61.85,19.4069,8.333,33.33
362,Concrete,T-Beam,12.443,0.29,2.5,0.001045415,0.05260642,0.375417,30,25,10,8.952,70.142,32.41,8.51,Bending,42.89,11.4562,10,40
363,Concrete,T-Beam,15.768,0.416,2,0.004412565,0.10807868,0.538102,30,25,12.5,26.003,180.131,85.189,26.143,Bending,37.92,16.0432,12.5,50
364,Concrete,T-Beam,16.803,0.244,3.5,0.000522074,0.03717583,0.315591,30,25,7.143,2.813,35.406,8.876,2.967,Bending,68.9,17.751,7.143,28.57
365,Concrete,T-Beam,18.165,0.16,2.5,9.57E-05,0.01591352,0.20648,30,25,10,1.02,21.218,1.392,0.983,Bending,113.84,44.3884,10,40
366,Concrete,T-Beam,10.625,0.138,3.5,5.28E-05,0.01182522,0.177991,30,25,7.143,0.798,11.262,2.246,0.786,Bending,77.25,12.585,7.143,28.57
367,Concrete,T-Beam,13.112,0.285,2.5,0.000978847,0.05090399,0.369292,30,25,10,8.086,67.872,27.327,8.1,Bending,45.95,12.9326,10,40
368,Concrete,T-Beam,12.457,0.09,2,9.83E-06,0.0050999,0.116889,30,25,12.5,0.337,8.5,0.304,0.5,Deflection,137.9,41.5226,11.26,45.04
369,Concrete,T-Beam,9.198,0.49,2,0.008473746,0.14977253,0.633447,30,25,12.5,72.716,249.621,480.731,72.423,Bending,18.79,4.6378,12.5,50
370,Concrete,T-Beam,14.26,0.132,3.5,4.43E-05,0.01083188,0.170352,30,25,7.143,0.521,10.316,1.046,0.519,Bending,108.32,23.6848,7.143,28.57
371,Concrete,T-Beam,5.323,0.183,1.5,0.000165041,0.02090209,0.236641,30,25,16.667,8.736,46.449,27.964,8.318,Bending,29.1,5.5423,16.667,66.67
372,Concrete,T-Beam,19.333,0.268,1.5,0.000756635,0.04475461,0.346269,30,25,16.667,7.535,99.455,9.717,7.635,Bending,72.25,49.9709,16.667,66.67
373,Concrete,T-Beam,8.723,0.287,2.5,0.001000098,0.05145359,0.37128,30,25,10,12.352,68.605,63.086,13.295,Bending,30.4,5.693,10,40
374,Concrete,T-Beam,16.287,0.341,2,0.00199457,0.07266397,0.441219,30,25,12.5,13.878,121.107,36.09,14.05,Bending,47.77,20.8764,12.5,50
375,Concrete,T-Beam,8.494,0.458,1.5,0.006473047,0.13090277,0.5922,30,25,16.667,85.791,290.895,430.661,87.714,Bending,18.56,5.6402,16.667,66.67
376,Concrete,T-Beam,6.947,0.42,3,0.004599365,0.11034265,0.543708,30,25,8.333,40.592,122.603,457.516,39.739,Bending,16.53,2.0544,8.333,33.33
377,Concrete,T-Beam,14.086,0.414,2.5,0.004346929,0.10727185,0.536089,30,25,10,23.027,143.029,105.165,22.449,Bending,34,10.2805,10,40
378,Concrete,T-Beam,12.559,0.126,2.5,3.67E-05,0.0098606,0.162535,30,25,10,0.72,13.147,1.118,0.766,Bending,99.99,26.9562,10,40
379,Concrete,T-Beam,17.647,0.263,3.5,0.000703853,0.04316535,0.340065,30,25,7.143,3.351,41.11,10.849,3.474,Bending,67.15,18.1691,7.143,28.57
380,Concrete,T-Beam,11.841,0.154,3.5,8.38E-05,0.01489501,0.199763,30,25,7.143,1.012,14.186,2.869,1.062,Bending,76.7,13.9251,7.143,28.57
381,Concrete,T-Beam,12.701,0.274,2,0.000826203,0.04676682,0.353967,30,25,12.5,9.189,77.945,24.586,9.373,Bending,46.43,15.8231,12.5,50
382,Concrete,T-Beam,14.165,0.249,3.5,0.000569274,0.03881995,0.322494,30,25,7.143,3.56,36.971,13.618,3.395,Bending,56.84,12.345,7.143,28.57
383,Concrete,T-Beam,14.917,0.362,3,0.002522707,0.08171991,0.467906,30,25,8.333,12.048,90.8,54.42,12.189,Bending,41.25,11.008,8.333,33.33
384,Concrete,T-Beam,8.07,0.457,3.5,0.006463726,0.13080849,0.591987,30,25,7.143,38.657,124.58,476.395,40.053,Bending,17.64,2.1828,7.143,28.57
385,Concrete,T-Beam,3.43,0.089,1.5,9.07E-06,0.00490027,0.114579,30,25,16.667,1.539,10.889,3.702,1.464,Bending,38.73,4.7524,16.667,66.67
386,Concrete,T-Beam,8.605,0.205,3,0.00025859,0.02616379,0.264755,30,25,8.333,3.783,29.071,16.762,3.963,Bending,42.06,6.4743,8.333,33.33
387,Concrete,T-Beam,9.963,0.424,3,0.004784322,0.11253942,0.549094,30,25,8.333,29.15,125.044,231.339,28.607,Bending,23.48,4.1849,8.333,33.33
388,Concrete,T-Beam,11.72,0.446,2,0.005840488,0.12434234,0.57717,30,25,12.5,43.17,207.237,204.089,44.078,Bending,26.28,8.2637,12.5,50
389,Concrete,T-Beam,14.242,0.154,2,8.27E-05,0.01479809,0.199112,30,25,12.5,1.459,24.663,1.957,1.512,Bending,92.56,35.3733,12.5,50
390,Concrete,T-Beam,19.895,0.348,1.5,0.002159869,0.07561504,0.450089,30,25,16.667,16.081,168.033,26.194,15.497,Bending,57.2,40.7112,16.667,66.67
391,Concrete,T-Beam,19.919,0.251,3,0.000584369,0.03933126,0.324611,30,25,8.333,3.013,43.701,7.07,3.021,Bending,79.4,28.2926,8.333,33.33
392,Concrete,T-Beam,19.237,0.129,1.5,4.07E-05,0.0103823,0.166779,30,25,16.667,0.846,23.072,0.528,0.517,Deflection,149.26,64.1242,10.403,41.61
393,Concrete,T-Beam,5.069,0.234,1.5,0.000444428,0.03430007,0.303139,30,25,16.667,19.283,76.222,83.036,17.932,Bending,21.64,3.9236,16.667,66.67
394,Concrete,T-Beam,4.157,0.488,3.5,0.008394243,0.14906828,0.631956,30,25,7.143,91.297,141.97,2331.734,89.929,Bending,8.51,0.5425,7.143,28.57
395,Concrete,T-Beam,15.269,0.396,1.5,0.003623941,0.09794562,0.512256,30,25,16.667,30.888,217.657,74.608,30.957,Bending,38.57,21.0715,16.667,66.67
396,Concrete,T-Beam,13.225,0.09,1.5,9.73E-06,0.00507443,0.116597,30,25,16.667,0.421,11.277,0.267,0.5,Deflection,146.77,44.0818,10.58,42.32
397,Concrete,T-Beam,12.953,0.278,3,0.000882334,0.04832936,0.359832,30,25,8.333,6.31,53.699,25.244,6.108,Bending,46.58,10.793,8.333,33.33
398,Concrete,T-Beam,8.482,0.089,2.5,9.44E-06,0.00499961,0.115734,30,25,10,0.385,6.666,0.63,0.5,Bending,94.84,17.2694,10,40
399,Concrete,T-Beam,6.303,0.279,2.5,0.000898932,0.04878181,0.361512,30,25,10,15.78,65.042,108.611,15.258,Bending,22.56,3.0526,10,40
400,Concrete,T-Beam,12.811,0.282,2.5,0.000933923,0.04972215,0.36498,30,25,10,7.99,66.296,27.315,7.474,Bending,45.42,12.4903,10,40
401,Concrete,Box,16.153,0.309,3,0.003875997,0.07449382,0.308564,30,25,8.333,25.922,82.771,71.305,25.622,Bending,52.35,19.5738,8.333,33.33
402,Concrete,Box,18.751,0.102,2,4.69E-05,0.00819843,0.102365,30,25,12.5,1.223,13.664,0.641,0.65,Deflection,183.18,62.5024,6.551,26.2
403,Concrete,Box,13.303,0.353,2,0.006671866,0.09773546,0.353437,30,25,12.5,70.95,162.892,180.96,71.519,Bending,37.64,17.3861,12.5,50
404,Concrete,Box,16.221,0.187,1.5,0.00052402,0.02739066,0.187106,30,25,16.667,11.511,60.868,9.56,9.652,Deflection,86.69,54.0685,13.842,55.37
405,Concrete,Box,7.806,0.06,2.5,5.65E-06,0.00284509,0.060302,30,25,10,0.48,3.793,0.445,0.5,Deflection,129.44,26.0183,9.271,37.08
406,Concrete,Box,19.561,0.338,1.5,0.005609372,0.08961602,0.338437,30,25,16.667,56.488,199.147,70.368,58.713,Bending,57.8,52.3419,16.667,66.67
407,Concrete,Box,12.353,0.266,1.5,0.002131223,0.05523864,0.265709,30,25,16.667,43.287,122.753,67.039,43.255,Bending,46.49,26.5876,16.667,66.67
408,Concrete,Box,12.913,0.394,3.5,0.010320727,0.12155803,0.394164,30,25,7.143,57.937,115.77,297.117,59.358,Bending,32.76,8.393,7.143,28.57
409,Concrete,Box,7.716,0.479,1.5,0.022463015,0.17933396,0.478759,30,25,16.667,405.408,398.52,1811.23,388.961,Shear,16.12,5.6588,16.383,65.53
410,Concrete,Box,10.608,0.278,3,0.002544526,0.0603576,0.277748,30,25,8.333,28.787,67.064,108.533,29.09,Bending,38.19,9.3788,8.333,33.33
411,Concrete,Box,3.439,0.4,3,0.010893796,0.12488726,0.399526,30,25,8.333,264.261,138.764,4420.393,139.032,Shear,8.61,0.3599,4.376,17.5
412,Concrete,Box,9.911,0.098,3.5,3.87E-05,0.00744518,0.097549,30,25,7.143,1.144,7.091,1.892,1.076,Bending,101.6,19.9802,7.143,28.57
413,Concrete,Box,2.318,0.321,2.5,0.004548064,0.0806941,0.321149,30,25,10,244.34,107.592,4061.611,111.285,Shear,7.22,0.2047,4.403,17.61
414,Concrete,Box,5.452,0.145,2.5,0.000190521,0.0165158,0.14529,30,25,10,9.621,22.021,30.765,9.039,Bending,37.53,5.6831,10,40
415,Concrete,Box,15.577,0.329,1.5,0.004995632,0.08457144,0.328774,30,25,16.667,65.032,187.937,98.83,62.631,Bending,47.38,34.1658,16.667,66.67
416,Concrete,Box,3.343,0.402,2.5,0.011189895,0.12657313,0.402213,30,25,10,332.851,168.764,4805.151,167.446,Shear,8.31,0.3914,5.07,20.28
417,Concrete,Box,5.2,0.361,1.5,0.007279924,0.10209206,0.361228,30,25,16.667,258.385,226.871,1292.396,227.964,Shear,14.39,3.0426,14.634,58.54
418,Concrete,Box,16.651,0.327,3,0.004879642,0.08358387,0.326849,30,25,8.333,29.886,92.871,84.474,29.889,Bending,50.95,19.637,8.333,33.33
419,Concrete,Box,5.128,0.345,2,0.006062586,0.09316601,0.345076,30,25,12.5,171.318,155.277,1106.827,148.909,Shear,14.86,2.3978,11.33,45.32
420,Concrete,Box,8.62,0.236,3.5,0.001334396,0.043709,0.236358,30,25,7.143,18.714,41.628,86.207,18.587,Bending,36.47,6.2371,7.143,28.57
421,Concrete,Box,8.967,0.484,2,0.023408679,0.18306991,0.48372,30,25,12.5,269.827,305.117,1397.28,267.944,Bending,18.54,5.7723,12.5,50
422,Concrete,Box,16.226,0.312,2,0.0040498,0.07614569,0.311967,30,25,12.5,40.002,126.909,73.833,38.746,Bending,52.01,29.304,12.5,50
423,Concrete,Box,5.415,0.329,3.5,0.004980618,0.08444426,0.328527,30,25,7.143,79.999,80.423,815.467,79.962,Bending,16.48,1.7706,7.143,28.57
424,Concrete,Box,3.975,0.297,3.5,0.003308099,0.06882049,0.296582,30,25,7.143,80.168,65.543,1004.825,66.682,Shear,13.4,0.8643,5.84,23.36
425,Concrete,Box,17.198,0.094,2,3.36E-05,0.00693348,0.094137,30,25,12.5,1.037,11.556,0.545,0.557,Deflection,182.7,57.3281,6.568,26.27
426,Concrete,Box,16.592,0.326,3.5,0.004849129,0.08332213,0.326337,30,25,7.143,25.587,79.354,84.545,24.637,Bending,50.84,16.7386,7.143,28.57
427,Concrete,Box,10.27,0.403,3.5,0.011306553,0.1272312,0.403257,30,25,7.143,78.002,121.173,514.549,79.091,Bending,25.47,5.1896,7.143,28.57
428,Concrete,Box,16.56,0.084,1.5,2.17E-05,0.00557168,0.084388,30,25,16.667,1.034,12.382,0.38,0.5,Deflection,196.24,55.1997,6.115,24.46
429,Concrete,Box,17.136,0.067,3,8.77E-06,0.00354286,0.067292,30,25,8.333,0.253,3.937,0.143,0.5,Deflection,254.65,57.119,4.712,18.85
430,Concrete,Box,10.918,0.224,1.5,0.001073701,0.0392076,0.223857,30,25,16.667,29.287,87.128,43.234,29.734,Bending,48.77,24.6532,16.667,66.67
431,Concrete,Box,13.051,0.08,3.5,1.75E-05,0.00500654,0.079993,30,25,7.143,0.479,4.768,0.493,0.5,Bending,163.15,42.2464,7.143,28.57
432,Concrete,Box,11.22,0.356,3.5,0.006875444,0.09921535,0.356103,30,25,7.143,49.166,94.491,262.154,48.166,Bending,31.51,7.0142,7.143,28.57
433,Concrete,Box,2.684,0.386,1.5,0.00947151,0.11644963,0.385793,30,25,16.667,609.715,258.777,6309.111,252.547,Shear,6.96,0.367,7.074,28.29
434,Concrete,Box,7.338,0.207,2.5,0.000790596,0.03364386,0.207366,30,25,10,20.784,44.858,70.483,21.593,Bending,35.38,7.2123,10,40
435,Concrete,Box,13.905,0.133,2.5,0.00013515,0.01391031,0.133338,30,25,10,2.916,18.547,3.355,3.025,Bending,104.28,40.2777,10,40
436,Concrete,Box,16.95,0.081,2,1.83E-05,0.00512329,0.080921,30,25,12.5,0.668,8.539,0.306,0.5,Deflection,209.46,56.4987,5.729,22.92
437,Concrete,Box,2.377,0.087,3,2.45E-05,0.00591889,0.086977,30,25,8.333,3.945,6.577,20.788,3.966,Bending,27.33,1.5037,8.333,33.33
438,Concrete,Box,6.101,0.489,2,0.024486788,0.18723819,0.489196,30,25,12.5,410.21,312.064,3157.532,314.364,Shear,12.47,2.01,9.509,38.04
439,Concrete,Box,2.188,0.165,3,0.00031642,0.02128434,0.164936,30,25,8.333,29.231,23.649,317.343,24.105,Shear,13.26,0.5434,6.742,26.97
440,Concrete,Box,11.545,0.069,2,9.62E-06,0.00371185,0.068878,30,25,12.5,0.605,6.186,0.347,0.5,Deflection,167.62,38.4848,7.159,28.64
441,Concrete,L-Beam,7.8,0.106,2.5,2.61E-05,0.00568398,0.146,30,25,10,0.916,7.579,2.058,0.918,Bending,73.34,11.575,10,40
442,Concrete,L-Beam,12.484,0.387,3,0.004554536,0.07511622,0.530755,30,25,8.333,22.913,83.462,140.283,23.098,Bending,32.29,6.7968,8.333,33.33
443,Concrete,L-Beam,4.819,0.07,1.5,4.81E-06,0.00243986,0.095655,30,25,16.667,0.695,5.422,0.993,0.673,Bending,69.17,11.2419,16.667,66.67
444,Concrete,L-Beam,9.909,0.326,3,0.002297073,0.05334565,0.447277,30,25,8.333,17.276,59.273,112.287,16.257,Bending,30.41,5.0819,8.333,33.33
445,Concrete,L-Beam,6.332,0.105,2.5,2.45E-05,0.00550589,0.143695,30,25,10,1.076,7.341,2.929,1.086,Bending,60.5,7.7518,10,40
446,Concrete,L-Beam,7.146,0.417,1.5,0.00617343,0.08745305,0.572683,30,25,16.667,100.563,194.34,580.233,103.024,Bending,17.13,4.1285,16.667,66.67
447,Concrete,L-Beam,6.652,0.295,3.5,0.001539581,0.043673,0.4047,30,25,7.143,16.34,41.593,167.02,16.219,Bending,22.56,2.1693,7.143,28.57
448,Concrete,L-Beam,17.156,0.378,3,0.00415329,0.07173115,0.518658,30,25,8.333,15.559,79.701,67.733,16.309,Bending,45.41,13.1361,8.333,33.33
449,Concrete,L-Beam,2.969,0.194,2.5,0.000288866,0.01891734,0.266353,30,25,10,14.609,25.223,157.249,14.738,Bending,15.3,0.9196,10,40
450,Concrete,L-Beam,15.103,0.099,3.5,1.92E-05,0.00488278,0.135319,30,25,7.143,0.269,4.65,0.405,0.5,Bending,153.21,33.4456,7.143,28.57
451,Concrete,L-Beam,15.068,0.418,2.5,0.006222544,0.08780024,0.573819,30,25,10,28.788,117.067,131.558,28.421,Bending,36.05,10.9904,10,40
452,Concrete,L-Beam,9.441,0.391,1.5,0.004772762,0.07689473,0.537001,30,25,16.667,62.757,170.877,256.998,60.987,Bending,24.14,7.6852,16.667,66.67
453,Concrete,L-Beam,11.15,0.184,2.5,0.000233102,0.01699356,0.252446,30,25,10,3.312,22.658,8.999,3.412,Bending,60.63,13.6809,10,40
454,Concrete,L-Beam,9.808,0.122,2,4.57E-05,0.00752608,0.168001,30,25,12.5,1.387,12.543,2.281,1.396,Bending,80.15,19.8835,12.5,50
455,Concrete,L-Beam,2.168,0.161,3.5,0.000136966,0.01302619,0.221022,30,25,7.143,8.167,12.406,139.877,8.08,Bending,13.47,0.4219,7.143,28.57
456,Concrete,L-Beam,5.491,0.446,2,0.008058728,0.09991828,0.612138,30,25,12.5,119.873,166.53,1282.856,122.068,Bending,12.31,1.7104,12.5,50
457,Concrete,L-Beam,5.673,0.3,2.5,0.001646293,0.04516117,0.411538,30,25,10,28.208,60.215,245.571,27.772,Bending,18.92,2.172,10,40
458,Concrete,L-Beam,16.108,0.299,2,0.001637824,0.04504486,0.411007,30,25,12.5,12.369,75.075,30.298,11.957,Bending,53.8,21.9207,12.5,50
459,Concrete,L-Beam,15.698,0.066,1.5,3.84E-06,0.00218161,0.090451,30,25,16.667,0.18,4.848,0.075,0.5,Deflection,238.24,52.3261,6.914,27.66
460,Concrete,L-Beam,15.613,0.429,2.5,0.006896344,0.09243175,0.588759,30,25,10,30.01,123.242,135.8,31.02,Bending,36.4,11.5006,10,40
461,Concrete,L-Beam,19.934,0.216,3.5,0.000441536,0.02338808,0.296159,30,25,7.143,2.137,22.274,5.334,2.214,Bending,92.4,26.6216,7.143,28.57
462,Concrete,L-Beam,5.91,0.112,3.5,3.21E-05,0.00630565,0.153777,30,25,7.143,1.009,6.005,4.411,1.028,Bending,52.76,4.5063,7.143,28.57
463,Concrete,L-Beam,2.034,0.13,2,5.87E-05,0.00852726,0.178826,30,25,12.5,8.069,14.212,68.109,7.7,Bending,15.61,0.8032,12.5,50
464,Concrete,L-Beam,16.296,0.092,3,1.45E-05,0.00423891,0.126082,30,25,8.333,0.235,4.71,0.262,0.5,Bending,177.42,48.7529,8.333,33.33
465,Concrete,L-Beam,11.182,0.376,3.5,0.004053566,0.07086476,0.515516,30,25,7.143,20.091,67.49,155.611,21.021,Bending,29.78,4.8124,7.143,28.57
466,Concrete,L-Beam,12.092,0.322,2,0.002179455,0.05196197,0.441438,30,25,12.5,20.415,86.603,71.549,21.644,Bending,37.6,11.5007,12.5,50
467,Concrete,L-Beam,12.789,0.321,3,0.002163129,0.05176699,0.440609,30,25,8.333,12.796,57.519,63.486,12.794,Bending,39.84,8.5923,8.333,33.33
468,Concrete,L-Beam,3.387,0.076,3.5,6.93E-06,0.00292907,0.104807,30,25,7.143,0.557,2.79,2.898,0.579,Bending,44.36,2.1718,7.143,28.57
469,Concrete,L-Beam,15.427,0.492,3.5,0.011931831,0.12158087,0.675242,30,25,7.143,32.727,115.791,240.661,32.814,Bending,31.36,6.9928,7.143,28.57
470,Concrete,L-Beam,9.924,0.116,1.5,3.74E-05,0.00680293,0.159726,30,25,16.667,1.571,15.118,1.821,1.641,Bending,85.29,28.5436,16.667,66.67
471,Concrete,L-Beam,9.812,0.09,3,1.33E-05,0.00405852,0.12337,30,25,8.333,0.366,4.509,0.663,0.5,Bending,109.18,18.0656,8.333,33.33
472,Concrete,L-Beam,7.39,0.128,3,5.48E-05,0.00824146,0.175804,30,25,8.333,1.407,9.157,4.819,1.444,Bending,57.7,7.1908,8.333,33.33
473,Concrete,L-Beam,10.931,0.13,3,5.86E-05,0.00852018,0.178752,30,25,8.333,1,9.467,2.354,1.036,Bending,83.95,15.4733,8.333,33.33
474,Concrete,L-Beam,12.58,0.133,3.5,6.38E-05,0.00889064,0.182597,30,25,7.143,0.794,8.467,1.935,0.747,Bending,94.58,17.196,7.143,28.57
475,Concrete,L-Beam,19.634,0.124,2.5,4.88E-05,0.00777416,0.170747,30,25,10,0.582,10.366,0.607,0.585,Bending,157.85,62.7112,10,40
476,Concrete,L-Beam,7.377,0.473,2,0.010228585,0.11256917,0.649736,30,25,12.5,106.7,187.615,902.174,101.039,Bending,15.59,2.9083,12.5,50
477,Concrete,L-Beam,17.349,0.151,3.5,0.000107356,0.01153253,0.207965,30,25,7.143,0.85,10.983,1.712,0.841,Bending,114.52,28.7167,7.143,28.57
478,Concrete,L-Beam,16.448,0.256,3.5,0.000877925,0.03297922,0.35168,30,25,7.143,4.337,31.409,15.577,4.389,Bending,64.2,15.2625,7.143,28.57
479,Concrete,L-Beam,14.708,0.334,2,0.002537313,0.05606588,0.458539,30,25,12.5,18.811,93.443,56.297,18.867,Bending,44.03,16.3817,12.5,50
480,Concrete,L-Beam,2.127,0.076,3,6.72E-06,0.00288536,0.104023,30,25,8.333,1.013,3.206,7.133,1.017,Bending,28.06,1.0063,8.333,33.33
481,Aluminum,Rectangular,4.364,0.229,3,0.000779908,0.078989,0.172107,69,270,90,373.795,5616.995,452.049,377.759,Bending,19.02,12.0293,90,33.33
482,Aluminum,Rectangular,3.241,0.076,3,9.22E-06,0.00858997,0.056756,69,270,90,18.05,610.843,9.693,9.728,Deflection,42.83,10.8041,48.329,17.9
483,Aluminum,Rectangular,6.963,0.174,2,0.000257955,0.04542734,0.130519,69,270,135,153.275,4845.583,58.739,60.349,Deflection,40.01,23.2099,51.736,19.16
484,Aluminum,Rectangular,10.095,0.4,3,0.007165484,0.23942405,0.29964,69,270,90,852.763,17025.71,776.202,757.499,Deflection,25.27,33.6511,81.92,30.34
485,Aluminum,Rectangular,4.815,0.434,2.5,0.009968101,0.28239123,0.325418,69,270,108,2748.338,24097.385,4746.92,2756.719,Bending,11.1,9.2923,108,40
486,Aluminum,Rectangular,9.4,0.206,2,0.00050948,0.06384232,0.154728,69,270,135,189.163,6809.847,63.66,61.5,Deflection,45.56,31.3324,45.432,16.83
487,Aluminum,Rectangular,15.184,0.297,3.5,0.00218083,0.13208574,0.222558,69,270,77.143,199.134,8050.94,104.427,104.084,Deflection,51.17,50.6136,40.454,14.98
488,Aluminum,Rectangular,6.683,0.379,2,0.005794965,0.21531307,0.284152,69,270,135,1647.907,22966.728,1432.51,1406.553,Deflection,17.64,22.2761,117.354,43.46
489,Aluminum,Rectangular,19.632,0.115,2,4.96E-05,0.01991841,0.086426,69,270,135,15.784,2124.63,1.421,1.397,Deflection,170.37,65.4397,12.15,4.5
490,Aluminum,Rectangular,7.557,0.476,3,0.014458618,0.34010137,0.357125,69,270,90,1928.787,24184.986,2795.41,1867.218,Bending,15.87,17.3797,90,33.33
